Epoch:[163]	 loss=22.5799	 mse=1.1549	 divloss=4.2850	
Epoch:[164]	 loss=22.5910	 mse=1.1710	 divloss=4.2840	
Epoch:[165]	 loss=22.5702	 mse=1.1554	 divloss=4.2830	
Epoch:[166]	 loss=22.5675	 mse=1.1581	 divloss=4.2819	
Epoch:[167]	 loss=22.5656	 mse=1.1614	 divloss=4.2808	
Epoch:[168]	 loss=22.5571	 mse=1.1579	 divloss=4.2798	
Epoch:[169]	 loss=22.5479	 mse=1.1535	 divloss=4.2789	
Epoch:[170]	 loss=22.5432	 mse=1.1536	 divloss=4.2779	
Epoch:[171]	 loss=22.5400	 mse=1.1553	 divloss=4.2769	
Epoch:[172]	 loss=22.5330	 mse=1.1533	 divloss=4.2759	
Epoch:[173]	 loss=22.5250	 mse=1.1504	 divloss=4.2749	
Epoch:[174]	 loss=22.5197	 mse=1.1502	 divloss=4.2739	
Epoch:[175]	 loss=22.5153	 mse=1.1507	 divloss=4.2729	
Epoch:[176]	 loss=22.5093	 mse=1.1493	 divloss=4.2720	
Epoch:[177]	 loss=22.5018	 mse=1.1464	 divloss=4.2711	
Epoch:[178]	 loss=22.4955	 mse=1.1444	 divloss=4.2702	
Epoch:[179]	 loss=22.4910	 mse=1.1443	 divloss=4.2693	
Epoch:[180]	 loss=22.4854	 mse=1.1431	 divloss=4.2685	
Epoch:[181]	 loss=22.4786	 mse=1.1408	 divloss=4.2676	
Epoch:[182]	 loss=22.4738	 mse=1.1404	 divloss=4.2667	
Epoch:[183]	 loss=22.4693	 mse=1.1403	 divloss=4.2658	
Epoch:[184]	 loss=22.4631	 mse=1.1383	 divloss=4.2650	
Epoch:[185]	 loss=22.4581	 mse=1.1374	 divloss=4.2641	
Epoch:[186]	 loss=22.4540	 mse=1.1375	 divloss=4.2633	
Epoch:[187]	 loss=22.4477	 mse=1.1354	 divloss=4.2625	
Epoch:[188]	 loss=22.4441	 mse=1.1359	 divloss=4.2616	
Epoch:[189]	 loss=22.4382	 mse=1.1340	 divloss=4.2608	
Epoch:[190]	 loss=22.4347	 mse=1.1343	 divloss=4.2601	
Epoch:[191]	 loss=22.4289	 mse=1.1325	 divloss=4.2593	
Epoch:[192]	 loss=22.4257	 mse=1.1331	 divloss=4.2585	
Epoch:[193]	 loss=22.4201	 mse=1.1313	 divloss=4.2578	
Epoch:[194]	 loss=22.4171	 mse=1.1319	 divloss=4.2570	
Epoch:[195]	 loss=22.4131	 mse=1.1316	 divloss=4.2563	
Epoch:[196]	 loss=22.4080	 mse=1.1299	 divloss=4.2556	
Epoch:[197]	 loss=22.4056	 mse=1.1309	 divloss=4.2549	
Epoch:[198]	 loss=22.4030	 mse=1.1317	 divloss=4.2543	
Epoch:[199]	 loss=22.3974	 mse=1.1294	 divloss=4.2536	
